Username,Last name, First name,Class year,B number,Current Residence Hall,Lottery Number, Lottery Number
wwellesley2000,Wellesley2000,Wendy,2016,B206792000,Severance,292
wwellesley1999,Wellesley1999,Wendy,2017,B206791999,Stone Davis,1836
wwellesley1998,Wellesley1998,Wendy,2018,B206791998,Lake House,2674
wwellesley1997,Wellesley1997,Wendy,2016,B206791997,Cazenove,853
wwellesley1996,Wellesley1996,Wendy,2016,B206791996,Lake House,7
wwellesley1995,Wellesley1995,Wendy,2017,B206791995,Claflin,1764
wwellesley1994,Wellesley1994,Wendy,2016,B206791994,Dower,846
wwellesley1993,Wellesley1993,Wendy,2016,B206791993,Claflin,163
wwellesley1992,Wellesley1992,Wendy,2016,B206791992,Cazenove,878
wwellesley1991,Wellesley1991,Wendy,2018,B206791991,Beebe,2994
wwellesley1990,Wellesley1990,Wendy,2016,B206791990,Bates,303
wwellesley1989,Wellesley1989,Wendy,2016,B206791989,Severance,827
wwellesley1988,Wellesley1988,Wendy,2016,B206791988,Claflin,259
wwellesley1987,Wellesley1987,Wendy,2016,B206791987,Stone Davis,182
wwellesley1986,Wellesley1986,Wendy,2016,B206791986,Munger,20
wwellesley1985,Wellesley1985,Wendy,2017,B206791985,Severance,1883
wwellesley1984,Wellesley1984,Wendy,2016,B206791984,Cazenove,144
wwellesley1983,Wellesley1983,Wendy,2016,B206791983,Cazenove,207
wwellesley1982,Wellesley1982,Wendy,2017,B206791982,Munger,1379
wwellesley1981,Wellesley1981,Wendy,2018,B206791981,Cazenove,2676
wwellesley1980,Wellesley1980,Wendy,2018,B206791980,Dower,2793
wwellesley1979,Wellesley1979,Wendy,2018,B206791979,Munger,2450
wwellesley1978,Wellesley1978,Wendy,2016,B206791978,Claflin,325
wwellesley1977,Wellesley1977,Wendy,2016,B206791977,Cazenove,123
wwellesley1976,Wellesley1976,Wendy,2018,B206791976,Stone Davis,2886
wwellesley1975,Wellesley1975,Wendy,2018,B206791975,Lake House,2148
wwellesley1974,Wellesley1974,Wendy,2016,B206791974,McAfee,522
wwellesley1973,Wellesley1973,Wendy,2016,B206791973,Pomeroy,884
wwellesley1972,Wellesley1972,Wendy,2017,B206791972,Cazenove,1101
wwellesley1971,Wellesley1971,Wendy,2018,B206791971,Beebe,2349
wwellesley1970,Wellesley1970,Wendy,2016,B206791970,Tower,396
wwellesley1969,Wellesley1969,Wendy,2016,B206791969,Stone Davis,102
wwellesley1968,Wellesley1968,Wendy,2018,B206791968,Lake House,2479
wwellesley1967,Wellesley1967,Wendy,2017,B206791967,Bates,1258
wwellesley1966,Wellesley1966,Wendy,2016,B206791966,Munger,360
wwellesley1965,Wellesley1965,Wendy,2018,B206791965,Freeman,2157
wwellesley1964,Wellesley1964,Wendy,2018,B206791964,Cazenove,2726
wwellesley1963,Wellesley1963,Wendy,2018,B206791963,Munger,2794
wwellesley1962,Wellesley1962,Wendy,2018,B206791962,Tower,2996
wwellesley1961,Wellesley1961,Wendy,2017,B206791961,Stone Davis,1613
wwellesley1960,Wellesley1960,Wendy,2016,B206791960,Bates,75
wwellesley1959,Wellesley1959,Wendy,2016,B206791959,Pomeroy,287
wwellesley1958,Wellesley1958,Wendy,2016,B206791958,Lake House,515
wwellesley1957,Wellesley1957,Wendy,2016,B206791957,Dower,726
wwellesley1956,Wellesley1956,Wendy,2017,B206791956,Pomeroy,1897
wwellesley1955,Wellesley1955,Wendy,2016,B206791955,Beebe,412
wwellesley1954,Wellesley1954,Wendy,2017,B206791954,Stone Davis,1945
wwellesley1953,Wellesley1953,Wendy,2017,B206791953,Pomeroy,1110
wwellesley1952,Wellesley1952,Wendy,2018,B206791952,Bates,2819
wwellesley1951,Wellesley1951,Wendy,2016,B206791951,McAfee,92
wwellesley1950,Wellesley1950,Wendy,2018,B206791950,Severance,2542
wwellesley1949,Wellesley1949,Wendy,2016,B206791949,Stone Davis,769
wwellesley1948,Wellesley1948,Wendy,2016,B206791948,Dower,377
wwellesley1947,Wellesley1947,Wendy,2017,B206791947,Munger,1901
wwellesley1946,Wellesley1946,Wendy,2017,B206791946,Stone Davis,1484
wwellesley1945,Wellesley1945,Wendy,2017,B206791945,Lake House,1749
wwellesley1944,Wellesley1944,Wendy,2016,B206791944,Claflin,641
wwellesley1943,Wellesley1943,Wendy,2018,B206791943,Tower,2376
wwellesley1942,Wellesley1942,Wendy,2016,B206791942,Dower,596
wwellesley1941,Wellesley1941,Wendy,2016,B206791941,Tower,995
wwellesley1940,Wellesley1940,Wendy,2018,B206791940,Pomeroy,2914
wwellesley1939,Wellesley1939,Wendy,2017,B206791939,Freeman,1756
wwellesley1938,Wellesley1938,Wendy,2016,B206791938,Freeman,224
wwellesley1937,Wellesley1937,Wendy,2017,B206791937,Munger,1414
wwellesley1936,Wellesley1936,Wendy,2016,B206791936,Severance,674
wwellesley1935,Wellesley1935,Wendy,2016,B206791935,Cazenove,398
wwellesley1934,Wellesley1934,Wendy,2016,B206791934,Severance,861
wwellesley1933,Wellesley1933,Wendy,2016,B206791933,Shafer,149
wwellesley1932,Wellesley1932,Wendy,2016,B206791932,McAfee,891
wwellesley1931,Wellesley1931,Wendy,2016,B206791931,Pomeroy,95
wwellesley1930,Wellesley1930,Wendy,2016,B206791930,Tower,128
wwellesley1929,Wellesley1929,Wendy,2017,B206791929,Severance,1648
wwellesley1928,Wellesley1928,Wendy,2018,B206791928,Stone Davis,2452
wwellesley1927,Wellesley1927,Wendy,2016,B206791927,Dower,534
wwellesley1926,Wellesley1926,Wendy,2016,B206791926,Beebe,572
wwellesley1925,Wellesley1925,Wendy,2016,B206791925,Stone Davis,828
wwellesley1924,Wellesley1924,Wendy,2017,B206791924,McAfee,1182
wwellesley1923,Wellesley1923,Wendy,2016,B206791923,Claflin,47
wwellesley1922,Wellesley1922,Wendy,2018,B206791922,Claflin,2439
wwellesley1921,Wellesley1921,Wendy,2017,B206791921,Severance,1664
wwellesley1920,Wellesley1920,Wendy,2016,B206791920,Cazenove,956
wwellesley1919,Wellesley1919,Wendy,2016,B206791919,Bates,568
wwellesley1918,Wellesley1918,Wendy,2016,B206791918,Cazenove,310
wwellesley1917,Wellesley1917,Wendy,2016,B206791917,Cazenove,563
wwellesley1916,Wellesley1916,Wendy,2017,B206791916,Tower,1985
wwellesley1915,Wellesley1915,Wendy,2018,B206791915,McAfee,2556
wwellesley1914,Wellesley1914,Wendy,2018,B206791914,Dower,2481
wwellesley1913,Wellesley1913,Wendy,2016,B206791913,Pomeroy,101
wwellesley1912,Wellesley1912,Wendy,2016,B206791912,Beebe,52
wwellesley1911,Wellesley1911,Wendy,2016,B206791911,Dower,765
wwellesley1910,Wellesley1910,Wendy,2017,B206791910,Dower,1976
wwellesley1909,Wellesley1909,Wendy,2017,B206791909,Freeman,1928
wwellesley1908,Wellesley1908,Wendy,2016,B206791908,Shafer,311
wwellesley1907,Wellesley1907,Wendy,2016,B206791907,Shafer,220
wwellesley1906,Wellesley1906,Wendy,2017,B206791906,Bates,1045
wwellesley1905,Wellesley1905,Wendy,2016,B206791905,Pomeroy,938
wwellesley1904,Wellesley1904,Wendy,2018,B206791904,Dower,2351
wwellesley1903,Wellesley1903,Wendy,2016,B206791903,Freeman,129
wwellesley1902,Wellesley1902,Wendy,2017,B206791902,Bates,1054
wwellesley1901,Wellesley1901,Wendy,2017,B206791901,Severance,1941
wwellesley1900,Wellesley1900,Wendy,2018,B206791900,Cazenove,2643
wwellesley1899,Wellesley1899,Wendy,2018,B206791899,Beebe,2235
wwellesley1898,Wellesley1898,Wendy,2016,B206791898,Bates,342
wwellesley1897,Wellesley1897,Wendy,2016,B206791897,Tower,254
wwellesley1896,Wellesley1896,Wendy,2017,B206791896,Cazenove,1639
wwellesley1895,Wellesley1895,Wendy,2017,B206791895,Claflin,1109
wwellesley1894,Wellesley1894,Wendy,2018,B206791894,Shafer,2298
wwellesley1893,Wellesley1893,Wendy,2016,B206791893,Tower,490
wwellesley1892,Wellesley1892,Wendy,2016,B206791892,Freeman,959
wwellesley1891,Wellesley1891,Wendy,2016,B206791891,Dower,868
wwellesley1890,Wellesley1890,Wendy,2016,B206791890,Stone Davis,45
wwellesley1889,Wellesley1889,Wendy,2017,B206791889,Beebe,1206
wwellesley1888,Wellesley1888,Wendy,2018,B206791888,McAfee,2032
wwellesley1887,Wellesley1887,Wendy,2018,B206791887,Munger,2763
wwellesley1886,Wellesley1886,Wendy,2017,B206791886,McAfee,1001
wwellesley1885,Wellesley1885,Wendy,2017,B206791885,Stone Davis,1337
wwellesley1884,Wellesley1884,Wendy,2016,B206791884,Pomeroy,315
wwellesley1883,Wellesley1883,Wendy,2017,B206791883,Dower,1689
wwellesley1882,Wellesley1882,Wendy,2018,B206791882,Pomeroy,2557
wwellesley1881,Wellesley1881,Wendy,2016,B206791881,Beebe,614
wwellesley1880,Wellesley1880,Wendy,2017,B206791880,Freeman,1887
wwellesley1879,Wellesley1879,Wendy,2016,B206791879,Beebe,221
wwellesley1878,Wellesley1878,Wendy,2017,B206791878,Munger,1219
wwellesley1877,Wellesley1877,Wendy,2016,B206791877,Cazenove,393
wwellesley1876,Wellesley1876,Wendy,2016,B206791876,Beebe,709
wwellesley1875,Wellesley1875,Wendy,2016,B206791875,Shafer,840
wwellesley1874,Wellesley1874,Wendy,2016,B206791874,Claflin,180
wwellesley1873,Wellesley1873,Wendy,2018,B206791873,Stone Davis,2348
wwellesley1872,Wellesley1872,Wendy,2018,B206791872,Pomeroy,2933
wwellesley1871,Wellesley1871,Wendy,2016,B206791871,McAfee,85
wwellesley1870,Wellesley1870,Wendy,2018,B206791870,Tower,2749
wwellesley1869,Wellesley1869,Wendy,2016,B206791869,Severance,113
wwellesley1868,Wellesley1868,Wendy,2017,B206791868,Lake House,1343
wwellesley1867,Wellesley1867,Wendy,2017,B206791867,McAfee,1389
wwellesley1866,Wellesley1866,Wendy,2016,B206791866,Stone Davis,895
wwellesley1865,Wellesley1865,Wendy,2017,B206791865,Lake House,1507
wwellesley1864,Wellesley1864,Wendy,2017,B206791864,Severance,1872
wwellesley1863,Wellesley1863,Wendy,2018,B206791863,Severance,2188
