Username,Last name, First name,Class year,B number,Current Residence Hall,Lottery Number
wwellesley2000,Wellesley2000,Wendy,2016,B206792000,Severance
wwellesley1999,Wellesley1999,Wendy,2017,B206791999,Stone Davis
wwellesley1998,Wellesley1998,Wendy,2018,B206791998,Lake House
wwellesley1997,Wellesley1997,Wendy,2016,B206791997,Cazenove
wwellesley1996,Wellesley1996,Wendy,2016,B206791996,Lake House
wwellesley1995,Wellesley1995,Wendy,2017,B206791995,Claflin
wwellesley1994,Wellesley1994,Wendy,2016,B206791994,Dower
wwellesley1993,Wellesley1993,Wendy,2016,B206791993,Claflin
wwellesley1992,Wellesley1992,Wendy,2016,B206791992,Cazenove
wwellesley1991,Wellesley1991,Wendy,2018,B206791991,Beebe
wwellesley1990,Wellesley1990,Wendy,2016,B206791990,Bates
wwellesley1989,Wellesley1989,Wendy,2016,B206791989,Severance
wwellesley1988,Wellesley1988,Wendy,2016,B206791988,Claflin
wwellesley1987,Wellesley1987,Wendy,2016,B206791987,Stone Davis
wwellesley1986,Wellesley1986,Wendy,2016,B206791986,Munger
wwellesley1985,Wellesley1985,Wendy,2017,B206791985,Severance
wwellesley1984,Wellesley1984,Wendy,2016,B206791984,Cazenove
wwellesley1983,Wellesley1983,Wendy,2016,B206791983,Cazenove
wwellesley1982,Wellesley1982,Wendy,2017,B206791982,Munger
wwellesley1981,Wellesley1981,Wendy,2018,B206791981,Cazenove
wwellesley1980,Wellesley1980,Wendy,2018,B206791980,Dower
wwellesley1979,Wellesley1979,Wendy,2018,B206791979,Munger
wwellesley1978,Wellesley1978,Wendy,2016,B206791978,Claflin
wwellesley1977,Wellesley1977,Wendy,2016,B206791977,Cazenove
wwellesley1976,Wellesley1976,Wendy,2018,B206791976,Stone Davis
wwellesley1975,Wellesley1975,Wendy,2018,B206791975,Lake House
wwellesley1974,Wellesley1974,Wendy,2016,B206791974,McAfee
wwellesley1973,Wellesley1973,Wendy,2016,B206791973,Pomeroy
wwellesley1972,Wellesley1972,Wendy,2017,B206791972,Cazenove
wwellesley1971,Wellesley1971,Wendy,2018,B206791971,Beebe
wwellesley1970,Wellesley1970,Wendy,2016,B206791970,Tower
wwellesley1969,Wellesley1969,Wendy,2016,B206791969,Stone Davis
wwellesley1968,Wellesley1968,Wendy,2018,B206791968,Lake House
wwellesley1967,Wellesley1967,Wendy,2017,B206791967,Bates
wwellesley1966,Wellesley1966,Wendy,2016,B206791966,Munger
wwellesley1965,Wellesley1965,Wendy,2018,B206791965,Freeman
wwellesley1964,Wellesley1964,Wendy,2018,B206791964,Cazenove
wwellesley1963,Wellesley1963,Wendy,2018,B206791963,Munger
wwellesley1962,Wellesley1962,Wendy,2018,B206791962,Tower
wwellesley1961,Wellesley1961,Wendy,2017,B206791961,Stone Davis
wwellesley1960,Wellesley1960,Wendy,2016,B206791960,Bates
wwellesley1959,Wellesley1959,Wendy,2016,B206791959,Pomeroy
wwellesley1958,Wellesley1958,Wendy,2016,B206791958,Lake House
wwellesley1957,Wellesley1957,Wendy,2016,B206791957,Dower
wwellesley1956,Wellesley1956,Wendy,2017,B206791956,Pomeroy
wwellesley1955,Wellesley1955,Wendy,2016,B206791955,Beebe
wwellesley1954,Wellesley1954,Wendy,2017,B206791954,Stone Davis
wwellesley1953,Wellesley1953,Wendy,2017,B206791953,Pomeroy
wwellesley1952,Wellesley1952,Wendy,2018,B206791952,Bates
wwellesley1951,Wellesley1951,Wendy,2016,B206791951,McAfee
wwellesley1950,Wellesley1950,Wendy,2018,B206791950,Severance
wwellesley1949,Wellesley1949,Wendy,2016,B206791949,Stone Davis
wwellesley1948,Wellesley1948,Wendy,2016,B206791948,Dower
wwellesley1947,Wellesley1947,Wendy,2017,B206791947,Munger
wwellesley1946,Wellesley1946,Wendy,2017,B206791946,Stone Davis
wwellesley1945,Wellesley1945,Wendy,2017,B206791945,Lake House
wwellesley1944,Wellesley1944,Wendy,2016,B206791944,Claflin
wwellesley1943,Wellesley1943,Wendy,2018,B206791943,Tower
wwellesley1942,Wellesley1942,Wendy,2016,B206791942,Dower
wwellesley1941,Wellesley1941,Wendy,2016,B206791941,Tower
wwellesley1940,Wellesley1940,Wendy,2018,B206791940,Pomeroy
wwellesley1939,Wellesley1939,Wendy,2017,B206791939,Freeman
wwellesley1938,Wellesley1938,Wendy,2016,B206791938,Freeman
wwellesley1937,Wellesley1937,Wendy,2017,B206791937,Munger
wwellesley1936,Wellesley1936,Wendy,2016,B206791936,Severance
wwellesley1935,Wellesley1935,Wendy,2016,B206791935,Cazenove
wwellesley1934,Wellesley1934,Wendy,2016,B206791934,Severance
wwellesley1933,Wellesley1933,Wendy,2016,B206791933,Shafer
wwellesley1932,Wellesley1932,Wendy,2016,B206791932,McAfee
wwellesley1931,Wellesley1931,Wendy,2016,B206791931,Pomeroy
wwellesley1930,Wellesley1930,Wendy,2016,B206791930,Tower
wwellesley1929,Wellesley1929,Wendy,2017,B206791929,Severance
wwellesley1928,Wellesley1928,Wendy,2018,B206791928,Stone Davis
wwellesley1927,Wellesley1927,Wendy,2016,B206791927,Dower
wwellesley1926,Wellesley1926,Wendy,2016,B206791926,Beebe
wwellesley1925,Wellesley1925,Wendy,2016,B206791925,Stone Davis
wwellesley1924,Wellesley1924,Wendy,2017,B206791924,McAfee
wwellesley1923,Wellesley1923,Wendy,2016,B206791923,Claflin
wwellesley1922,Wellesley1922,Wendy,2018,B206791922,Claflin
wwellesley1921,Wellesley1921,Wendy,2017,B206791921,Severance
wwellesley1920,Wellesley1920,Wendy,2016,B206791920,Cazenove
wwellesley1919,Wellesley1919,Wendy,2016,B206791919,Bates
wwellesley1918,Wellesley1918,Wendy,2016,B206791918,Cazenove
wwellesley1917,Wellesley1917,Wendy,2016,B206791917,Cazenove
wwellesley1916,Wellesley1916,Wendy,2017,B206791916,Tower
wwellesley1915,Wellesley1915,Wendy,2018,B206791915,McAfee
wwellesley1914,Wellesley1914,Wendy,2018,B206791914,Dower
wwellesley1913,Wellesley1913,Wendy,2016,B206791913,Pomeroy
wwellesley1912,Wellesley1912,Wendy,2016,B206791912,Beebe
wwellesley1911,Wellesley1911,Wendy,2016,B206791911,Dower
wwellesley1910,Wellesley1910,Wendy,2017,B206791910,Dower
wwellesley1909,Wellesley1909,Wendy,2017,B206791909,Freeman
wwellesley1908,Wellesley1908,Wendy,2016,B206791908,Shafer
wwellesley1907,Wellesley1907,Wendy,2016,B206791907,Shafer
wwellesley1906,Wellesley1906,Wendy,2017,B206791906,Bates
wwellesley1905,Wellesley1905,Wendy,2016,B206791905,Pomeroy
wwellesley1904,Wellesley1904,Wendy,2018,B206791904,Dower
wwellesley1903,Wellesley1903,Wendy,2016,B206791903,Freeman
wwellesley1902,Wellesley1902,Wendy,2017,B206791902,Bates
wwellesley1901,Wellesley1901,Wendy,2017,B206791901,Severance
wwellesley1900,Wellesley1900,Wendy,2018,B206791900,Cazenove
wwellesley1899,Wellesley1899,Wendy,2018,B206791899,Beebe
wwellesley1898,Wellesley1898,Wendy,2016,B206791898,Bates
wwellesley1897,Wellesley1897,Wendy,2016,B206791897,Tower
wwellesley1896,Wellesley1896,Wendy,2017,B206791896,Cazenove
wwellesley1895,Wellesley1895,Wendy,2017,B206791895,Claflin
wwellesley1894,Wellesley1894,Wendy,2018,B206791894,Shafer
wwellesley1893,Wellesley1893,Wendy,2016,B206791893,Tower
wwellesley1892,Wellesley1892,Wendy,2016,B206791892,Freeman
wwellesley1891,Wellesley1891,Wendy,2016,B206791891,Dower
wwellesley1890,Wellesley1890,Wendy,2016,B206791890,Stone Davis
wwellesley1889,Wellesley1889,Wendy,2017,B206791889,Beebe
wwellesley1888,Wellesley1888,Wendy,2018,B206791888,McAfee
wwellesley1887,Wellesley1887,Wendy,2018,B206791887,Munger
wwellesley1886,Wellesley1886,Wendy,2017,B206791886,McAfee
wwellesley1885,Wellesley1885,Wendy,2017,B206791885,Stone Davis
wwellesley1884,Wellesley1884,Wendy,2016,B206791884,Pomeroy
wwellesley1883,Wellesley1883,Wendy,2017,B206791883,Dower
